Date,pm25,ozone,pm_aqi,ozone_aqi,aqi,T2M,RH2M,PRECTOTCORR,WS2M,WD2M,PS
2021-01-01,2.1,0.031333333,11.666666666666666,29.33333333333333,29.33333333333333,2.87,86.58,1.92,4.01,306.8,98.66
2021-01-02,3.3,0.032,18.0,29.666666666666668,29.666666666666668,2.89,77.71,0.16,2.45,303.1,99.93
2021-01-03,4.8,0.035666667,27.0,33.0,33.0,5.52,73.9,0.31,2.91,210.6,99.46
2021-01-04,11.4,0.034,55.0,31.33333333333333,55.0,8.32,71.72,0.0,1.53,24.2,99.54
2021-01-05,9.7,0.034666667,52.0,32.0,52.0,8.45,75.69,0.0,2.07,111.0,99.86
2021-01-06,5.9,0.022,33.0,20.33333333333333,33.0,11.84,80.67,0.83,4.32,197.3,99.2
2021-01-07,4.033333333333333,0.024666667,22.666666666666668,22.666666666666668,22.666666666666668,7.72,76.33,0.12,5.1,327.4,99.54
2021-01-08,1.1,0.029333333,6.0,27.33333333333333,27.33333333333333,4.86,80.15,0.0,2.61,353.2,100.36
2021-01-09,8.1,0.028666667,45.0,26.666666666666668,45.0,2.15,77.91,0.0,1.61,45.0,100.54
2021-01-10,12.3,0.017666667,56.75,16.666666666666668,56.75,2.01,83.6,2.53,2.32,26.6,100.53
2021-01-11,12.9,0.024666667,58.0,22.666666666666668,58.0,1.95,80.26,0.28,2.2,344.0,100.71
2021-01-12,12.5,0.026,57.0,24.0,57.0,3.15,72.2,0.02,1.71,265.3,100.6
2021-01-13,9.033333333333331,0.032333333,48.0,29.666666666666668,48.0,4.82,75.65,0.0,2.55,226.0,99.93
2021-01-14,4.9,0.036666667,27.0,33.666666666666664,33.666666666666664,7.96,63.31,0.0,4.96,291.4,99.01
2021-01-15,1.8,0.035,10.0,32.0,32.0,5.36,47.99,0.0,5.67,309.3,99.62
2021-01-16,7.233333333333333,0.032,40.333333333333336,29.666666666666668,40.333333333333336,4.05,57.92,0.0,3.02,303.5,99.69
2021-01-17,9.8,0.033666667,52.0,31.33333333333333,52.0,7.04,58.91,0.0,2.44,308.3,99.66
2021-01-18,10.4,0.037666667,53.0,34.666666666666664,53.0,8.33,63.6,0.02,2.79,183.2,99.47
2021-01-19,3.766666666666667,0.028,21.0,26.0,26.0,11.32,77.01,2.57,3.54,35.8,99.97
2021-01-20,4.8,0.013,27.0,12.0,27.0,7.83,76.21,4.46,2.17,24.4,100.58
2021-01-21,7.3,0.002333333,41.0,2.333333333333333,41.0,9.81,90.8,0.49,2.58,215.0,99.42
2021-01-22,10.25,0.012333333,53.0,11.333333333333334,53.0,10.43,91.86,0.59,2.04,42.5,99.24
2021-01-23,8.5,0.011666667,47.0,10.666666666666666,47.0,9.37,91.46,0.28,1.81,111.6,99.62
2021-01-24,6.1,0.011,34.0,10.0,34.0,12.73,94.0,4.33,2.28,144.8,99.18
2021-01-25,4.2,0.028333333,23.33333333333333,26.33333333333333,26.33333333333333,16.89,77.72,5.39,5.04,226.1,98.32
2021-01-26,3.6,0.022666667,20.0,20.666666666666668,20.666666666666668,7.8,67.58,0.0,2.69,346.7,98.99
2021-01-27,11.8,0.027,56.0,25.0,56.0,5.62,71.55,0.17,3.98,350.2,100.04
2021-01-28,10.766666666666666,0.022666667,54.333333333333336,21.0,54.333333333333336,2.13,75.89,0.0,1.86,61.6,101.14
2021-01-29,10.6,0.04,54.0,37.0,54.0,6.35,77.92,0.03,2.8,167.5,100.38
2021-01-30,15.6,0.040666667,63.0,37.66666666666666,63.0,13.89,72.42,0.47,5.79,205.8,98.91
2021-01-31,3.9,0.034,22.0,31.33333333333333,31.33333333333333,8.94,56.59,0.0,6.03,331.0,99.67
2021-02-01,5.9,0.032333333,33.0,30.0,33.0,5.71,69.96,0.01,2.92,347.0,100.68
2021-02-02,6.9,0.0365,38.0,34.0,38.0,8.18,58.84,0.01,1.85,146.1,100.24
2021-02-03,9.2,0.047333333,51.0,43.66666666666666,51.0,10.1,73.83,0.0,4.2,163.0,99.47
2021-02-04,5.1,0.034,28.0,31.5,31.5,13.92,69.98,0.01,6.24,239.8,98.69
2021-02-05,3.2,0.033666667,18.0,31.33333333333333,31.33333333333333,7.29,59.16,0.0,2.14,69.2,99.37
2021-02-06,6.0,0.030666667,33.0,28.666666666666668,33.0,6.62,80.68,0.08,3.28,147.9,98.93
2021-02-07,3.4,0.034333333,19.0,31.666666666666668,31.666666666666668,5.32,83.66,0.0,2.73,114.6,99.56
2021-02-08,8.7,0.026,48.0,24.0,48.0,9.42,84.84,0.04,3.78,156.0,99.2
2021-02-09,1.3,0.011,7.0,10.0,10.0,3.15,73.89,0.01,4.11,352.8,99.81
2021-02-10,2.1,0.022,12.0,20.0,20.0,-0.25,77.38,0.02,4.03,357.2,99.96
2021-02-11,7.8,0.026333333,43.0,24.33333333333333,43.0,-1.49,68.24,0.19,5.44,1.4,100.07
2021-02-12,13.6,0.025,59.0,23.0,59.0,-2.33,63.61,0.0,5.24,3.2,100.26
2021-02-13,9.5,0.031,52.0,29.0,52.0,-3.58,63.24,0.04,5.09,6.8,100.23
2021-02-14,9.8,0.033333333,52.0,31.0,52.0,-6.01,64.88,1.87,5.66,12.2,100.28
2021-02-15,10.1,0.035,52.625,32.0,52.625,-10.7,61.7,0.88,6.39,346.2,100.49
2021-02-16,10.4,0.041,53.25,38.0,53.25,-11.32,66.42,0.17,2.35,25.8,100.19
2021-02-17,10.7,0.0345,53.875,31.5,53.875,-4.78,80.89,0.61,2.58,74.7,99.73
2021-02-18,11.0,0.045,54.5,42.0,54.5,-3.54,75.28,0.17,4.07,357.0,100.41
2021-02-19,16.3,0.043666667,64.0,40.333333333333336,64.0,-3.68,79.52,1.42,1.82,319.8,100.98
2021-02-20,11.9,0.044666667,56.0,41.333333333333336,56.0,1.32,75.72,0.27,3.09,173.6,100.4
2021-02-21,6.8,0.039,37.5,36.0,37.5,6.58,83.51,0.05,4.69,187.8,99.57
2021-02-22,6.7,0.042333333,37.0,39.333333333333336,39.333333333333336,8.19,63.49,0.0,2.14,291.8,100.06
2021-02-23,7.0,0.051333333,39.0,47.333333333333336,47.333333333333336,11.4,64.6,0.0,3.45,200.6,99.51
2021-02-24,5.766666666666667,0.044,32.0,41.0,41.0,15.75,69.06,0.04,5.35,233.9,99.1
2021-02-25,4.6,0.025333333,26.0,23.33333333333333,26.0,9.01,70.06,4.54,3.86,24.8,100.0
2021-02-26,6.1,0.019,34.0,17.666666666666668,34.0,10.01,86.31,21.08,2.2,338.8,99.44
2021-02-27,10.75,0.015666667,54.0,14.666666666666666,54.0,13.1,91.07,0.52,2.5,152.3,99.05
2021-02-28,7.7,0.03,43.0,28.0,43.0,18.46,83.2,4.89,4.11,219.1,98.85
2021-03-01,2.5,0.035333333,14.0,32.333333333333336,32.333333333333336,9.64,67.63,2.34,4.01,15.2,99.95
2021-03-02,4.4,0.040666667,24.0,37.66666666666666,37.66666666666666,10.08,65.6,0.78,1.07,44.0,100.33
2021-03-03,6.1,0.048666667,34.0,45.0,45.0,10.34,64.32,0.0,2.23,186.5,99.87
2021-03-04,7.9,0.058666667,44.0,63.0,63.0,12.77,67.95,0.0,3.23,168.0,99.7
2021-03-05,6.5,0.040666667,36.0,37.66666666666666,37.66666666666666,14.48,70.76,0.02,3.47,146.8,99.16
2021-03-06,5.3,0.043333333,29.0,40.333333333333336,40.333333333333336,11.73,71.29,0.0,3.3,47.3,100.31
2021-03-07,8.6,0.047666667,48.0,44.0,48.0,10.42,63.79,0.0,2.49,141.4,100.53
2021-03-08,10.3,0.054666667,53.5,52.0,53.5,11.61,65.73,0.0,3.0,173.5,100.64
2021-03-09,10.1,0.041666667,53.0,38.66666666666666,53.0,15.35,72.82,0.0,4.91,175.9,100.15
2021-03-10,5.8,0.040333333,32.0,37.333333333333336,37.333333333333336,18.62,76.19,0.0,6.01,179.8,99.5
2021-03-11,7.8,0.035,43.333333333333336,32.333333333333336,43.333333333333336,21.11,78.26,0.0,5.09,185.3,99.41
2021-03-12,8.1,0.033333333,45.0,30.666666666666668,45.0,21.24,80.2,0.03,4.01,171.2,99.76
2021-03-13,6.7,0.037666667,37.0,34.666666666666664,37.0,20.72,79.56,0.3,4.49,156.3,99.7
2021-03-14,10.7,0.043666667,54.0,40.66666666666666,54.0,18.57,66.39,1.62,3.82,198.2,99.04
2021-03-15,11.688888888888888,0.047666667,55.888888888888886,44.0,55.888888888888886,15.01,51.04,0.01,3.54,231.7,98.93
2021-03-16,12.677777777777775,0.033,57.77777777777777,30.33333333333333,57.77777777777777,16.56,65.58,0.16,2.4,154.2,98.77
2021-03-17,13.666666666666666,0.041333333,59.66666666666666,38.333333333333336,59.66666666666666,18.3,68.76,7.01,5.51,240.6,98.36
2021-03-18,1.933333333333333,0.038666667,10.666666666666666,35.666666666666664,35.666666666666664,9.5,55.42,0.0,6.36,320.5,99.78
2021-03-19,4.9,0.046666667,27.0,43.333333333333336,43.333333333333336,9.88,64.54,0.0,3.61,356.7,100.41
2021-03-20,11.1,0.048666667,55.0,45.0,55.0,11.6,67.9,0.0,1.95,87.0,100.39
2021-03-21,9.433333333333334,0.048666667,51.0,45.0,51.0,12.56,68.28,0.0,3.81,152.8,99.97
2021-03-22,10.533333333333331,0.035333333,54.0,32.666666666666664,54.0,13.37,83.04,16.8,4.47,152.9,99.06
2021-03-23,4.6,0.042666667,25.5,39.66666666666666,39.66666666666666,15.21,70.61,4.81,4.84,230.7,98.44
2021-03-24,7.3,0.044333333,40.66666666666666,41.333333333333336,41.333333333333336,15.04,63.53,0.35,2.9,64.3,98.71
2021-03-25,4.866666666666666,0.039,26.666666666666668,36.0,36.0,15.3,76.87,19.55,3.91,301.4,98.56
2021-03-26,7.775,0.053333333,43.0,49.333333333333336,49.333333333333336,15.48,61.66,0.0,2.49,167.8,99.13
2021-03-27,16.1,0.040666667,64.0,37.66666666666666,64.0,18.02,73.31,0.03,2.09,199.0,98.91
2021-03-28,4.5,0.045666667,25.0,42.333333333333336,42.333333333333336,16.61,57.27,0.01,4.55,4.0,99.97
2021-03-29,7.633333333333333,0.052333333,42.333333333333336,48.333333333333336,48.333333333333336,14.65,58.6,0.0,2.93,178.0,99.91
2021-03-30,8.2,0.038,46.0,35.0,46.0,18.37,65.52,0.07,4.57,190.7,98.95
2021-03-31,7.0,0.045333333,39.0,42.0,42.0,15.94,48.13,0.13,5.52,19.8,99.91
2021-04-01,11.966666666666669,0.056,56.333333333333336,55.0,56.333333333333336,11.94,50.6,0.0,2.05,47.0,100.97
2021-04-02,14.8,0.049333333,62.0,45.66666666666666,62.0,12.31,58.59,0.0,2.65,140.1,100.63
2021-04-03,9.0,0.05,50.0,46.0,50.0,15.27,57.05,0.0,3.43,170.2,100.32
2021-04-04,7.25,0.048,40.5,44.333333333333336,44.333333333333336,16.78,70.84,0.0,2.77,194.7,100.15
2021-04-05,8.8,0.043666667,49.0,40.66666666666666,49.0,18.19,68.64,0.0,3.15,189.8,99.58
2021-04-06,7.6,0.036666667,42.0,33.666666666666664,42.0,20.55,72.74,0.0,5.01,175.2,98.86
2021-04-07,5.566666666666666,0.048333333,31.33333333333333,44.333333333333336,44.333333333333336,21.97,58.31,0.05,6.23,225.8,98.64
2021-04-08,8.4,0.054666667,47.0,51.333333333333336,51.333333333333336,18.35,49.47,0.0,2.1,264.8,98.85
2021-04-09,19.8,0.040666667,71.0,37.66666666666666,71.0,22.2,70.67,0.33,4.06,175.4,98.13
2021-04-10,3.766666666666666,0.046333333,21.0,43.333333333333336,43.333333333333336,17.28,51.68,0.03,5.04,336.1,98.8
2021-04-11,7.2,0.055333333,40.0,53.0,53.0,18.16,42.62,0.06,2.58,194.0,98.59
2021-04-12,12.5,0.053333333,57.0,50.0,57.0,19.91,56.57,1.84,2.32,186.0,98.55
2021-04-13,8.633333333333333,0.055333333,48.0,55.0,55.0,19.67,59.7,0.85,3.01,13.3,99.25
2021-04-14,7.3,0.040333333,41.0,37.333333333333336,41.0,19.05,70.78,1.96,3.37,30.7,99.4
2021-04-15,5.4,0.034333333,30.0,31.666666666666668,31.666666666666668,15.67,81.78,9.13,3.29,64.1,99.47
2021-04-16,6.225,0.025333333,34.5,23.33333333333333,34.5,15.39,88.6,21.62,2.61,95.3,98.93
2021-04-17,4.2,0.036,23.0,33.0,33.0,12.14,70.23,0.49,4.79,344.9,99.54
2021-04-18,4.3,0.042,24.0,39.0,39.0,12.6,63.9,0.1,2.84,338.4,99.79
2021-04-19,8.433333333333332,0.056333333,46.66666666666666,56.333333333333336,56.333333333333336,15.6,46.64,0.0,1.4,239.4,99.55
2021-04-20,5.5,0.039,31.0,36.0,36.0,13.12,56.32,0.08,3.98,317.3,99.52
2021-04-21,5.9,0.047666667,33.0,44.0,44.0,9.59,55.66,0.0,1.95,26.5,100.39
2021-04-22,7.3,0.044333333,40.333333333333336,41.333333333333336,41.333333333333336,13.28,56.86,0.0,2.09,129.2,99.86
2021-04-23,9.6,0.034333333,52.0,31.666666666666668,52.0,17.26,80.97,10.46,3.71,146.5,98.93
2021-04-24,3.2,0.038,18.0,35.0,35.0,18.67,82.8,4.6,3.11,328.1,98.66
2021-04-25,7.5,0.05,41.66666666666666,46.0,46.0,17.9,76.73,0.19,2.61,156.4,99.4
2021-04-26,6.4,0.054333333,36.0,50.333333333333336,50.333333333333336,21.13,69.64,0.01,4.92,169.2,98.94
2021-04-27,9.9,0.025666667,52.0,23.666666666666668,52.0,21.5,78.9,0.54,4.48,169.5,98.73
2021-04-28,12.95,0.022333333,58.25,20.666666666666668,58.25,24.15,82.11,3.3,4.31,166.0,98.6
2021-04-29,4.8,0.027,27.0,25.0,27.0,21.07,86.17,43.19,4.05,23.7,98.91
2021-04-30,8.9,0.026,49.0,24.0,49.0,19.57,84.88,4.4,4.0,48.2,99.69
